ID,Theme,Kanji,Reading,Romaji,English
PB028,Places & Buildings,階段,かいだん,Kaidan,Staircase
PB029,Places & Buildings,エレベーター,エレベーター,Erebētā,Elevator
PB030,Places & Buildings,エスカレーター,エスカレーター,Esukarētā,Escalator
PB031,Places & Buildings,窓,まど,Mado,Window
PB032,Places & Buildings,ドア,ドア,Doa,Door
PB033,Places & Buildings,ビル,ビル,Biru,Building
PB034,Places & Buildings,ポスト,ポスト,Posuto,Postbox
PB035,Places & Buildings,ホテル,ホテル,Hoteru,Hotel
PB036,Places & Buildings,空港,くうこう,Kuukou,Airport
PB037,Places & Buildings,プール,プール,Pūru,Swimming pool
PB038,Places & Buildings,デパート,デパート,Depāto,Department store
PB039,Places & Buildings,コンビニ,コンビニ,Konbini,Convenience store
PB040,Places & Buildings,物販会場,ぶっぱんかいじょう,Buppan kaijō,Dealer's room / Merchandise hall
TR001,Transport,車,くるま,Kuruma,Car
TR002,Transport,電車,でんしゃ,Densha,Train
TR003,Transport,バス,バス,Basu,Bus
TR004,Transport,地下鉄,ちかてつ,Chikatetsu,Subway
TR005,Transport,新幹線,しんかんせん,Shinkansen,Bullet train
TR006,Transport,船,ふね,Fune,Ship
TR007,Transport,飛行機,ひこうき,Hikōki,Airplane
TR008,Transport,自転車,じてんしゃ,Jitensha,Bicycle
TR009,Transport,タクシー,タクシー,Takushī,Taxi
TR010,Transport,歩いて,あるいて,Aruite,On foot
TR011,Transport,バイク,バイク,Baiku,Motorcycle
TR012,Transport,バス停,バスてい,Basutei,Bus stop
TR013,Transport,旅行時間,りょこうじかん,Ryokou jikan,Travel time
TR014,Transport,電動自転車,でんどうじてんしゃ,Dendō jitensha,Electric bicycle
TR015,Transport,片道,かたみち,Katamichi,One way
FA001,Furniture & Appliances,机,つくえ,Tsukue,Desk
FA002,Furniture & Appliances,椅子,いす,Isu,Chair
FA003,Furniture & Appliances,テーブル,テーブル,Tēburu,Table
FA004,Furniture & Appliances,ベッド,ベッド,Beddo,Bed
FA005,Furniture & Appliances,棚,たな,Tana,Shelf
FA006,Furniture & Appliances,冷蔵庫,れいぞうこ,Reizōko,Refrigerator
FA007,Furniture & Appliances,テレビ,テレビ,Terebi,Television
FA008,Furniture & Appliances,ラジオ,ラジオ,Rajio,Radio
FA009,Furniture & Appliances,カメラ,カメラ,Kamera,Camera
FA010,Furniture & Appliances,コンピューター,コンピューター,Konpyūtā,Computer
FA011,Furniture & Appliances,パソコン,パソコン,Pasokon,Personal computer
FA012,Furniture & Appliances,電話,でんわ,Denwa,Telephone
FA013,Furniture & Appliances,電気,でんき,Denki,Electric
FA014,Furniture & Appliances,電気グリル,でんきぐりる,Denki guriru,Electric grill
UT001,Utensils & Tools,手,て,Te,Hand
UT002,Utensils & Tools,箸,はし,Hashi,Chopsticks
UT003,Utensils & Tools,スプーン,スプーン,Supūn,Spoon
UT004,Utensils & Tools,フォーク,フォーク,Fōku,Fork
PF001,People & Family,友達,ともだち,Tomodachi,Friend
PF002,People & Family,彼,かれ,Kare,He / Boyfriend
PF003,People & Family,彼女,かのじょ,Kanojo,She / Girlfriend
PF004,People & Family,家族,かぞく,Kazoku,Family
PF005,People & Family,両親,りょうしん,Ryōshin,Parents
PF006,People & Family,兄弟,きょうだい,Kyōdai,Siblings
PF007,People & Family,お父さん,おとうさん,Otōsan,Someone else's father
PF008,People & Family,お母さん,おかあさん,Okāsan,Someone else's mother
PF009,People & Family,お兄さん,おにいさん,Onīsan,Someone else's older brother
PF010,People & Family,お姉さん,おねえさん,Onēsan,Someone else's older sister
PF011,People & Family,弟さん,おとうとさん,Otōtosan,Someone else's younger brother
PF012,People & Family,妹さん,いもうとさん,Imōtosan,Someone else's younger sister
PF013,People & Family,主人 / 夫,しゅじん / おっと,Shujin / Otto,My husband
PF014,People & Family,ご主人,ごしゅじん,Goshujin,Someone else's husband
PF015,People & Family,妻,つま,Tsuma,My wife
PF016,People & Family,奥さん,おくさん,Okusan,Someone else's wife
PF017,People & Family,男の人,おとこのひと,Otoko no hito,Man
PF018,People & Family,女の人,おんなのひと,Onna no hito,Woman
PF019,People & Family,男の子,おとこのこ,Otoko no ko,Boy
PF020,People & Family,女の子,おんなのこ,Onna no ko,Girl
PF021,People & Family,一人で,ひとりで,Hitori de,Alone / By oneself
PF022,People & Family,研究者,けんきゅうしゃ,Kenkyūsha,Researcher
PF023,People & Family,親友,しんゆう,Shinyuu,Best friend
PF024,People & Family,娘,むすめ,Musume,Daughter
PF025,People & Family,息子,むすこ,Musuko,Son
PF026,People & Family,イケメン,イケメン,Ikemen,Good-looking guy (casual)
PF027,People & Family,私たち,わたしたち,Watashitachi,We
NA001,Nature & Animals,猫,ねこ,Neko,Cat
NA002,Nature & Animals,犬,いぬ,Inu,Dog
NA003,Nature & Animals,花,はな,Hana,Flower / Blossom
NA004,Nature & Animals,木,き,Ki,Tree / Wood
NA005,Nature & Animals,桜,さくら,Sakura,Cherry blossom
NA006,Nature & Animals,山,やま,Yama,Mountain
NA007,Nature & Animals,妖怪,ようかい,Youkai,Yokai (supernatural creatures)
NA008,Nature & Animals,海,うみ,Umi,Sea / Ocean
NA009,Nature & Animals,紅葉,もみじ,Momiji,Maple / Red leaves of autumn
NA010,Nature & Animals,季節,きせつ,Kisetsu,Season
NA011,Nature & Animals,春,はる,Haru,Spring
NA012,Nature & Animals,夏,なつ,Natsu,Summer
NA013,Nature & Animals,秋,あき,Aki,Autumn / Fall
NA014,Nature & Animals,冬,ふゆ,Fuyu,Winter
NA015,Nature & Animals,天気,てんき,Tenki,Weather
NA016,Nature & Animals,雨,あめ,Ame,Rain
NA017,Nature & Animals,雪,ゆき,Yuki,Snow
NA018,Nature & Animals,曇り,くもり,Kumori,Cloudy
NA019,Nature & Animals,川,かわ,Kawa,River
NA020,Nature & Animals,風,かぜ,Kaze,Wind
NA021,Nature & Animals,しっぽ,しっぽ,Shippo,Tail
PD001,Position & Direction,中,なか,Naka,In / Inside
PD002,Position & Direction,外,そと,Soto,Outside
PD003,Position & Direction,右,みぎ,Migi,Right
PD004,Position & Direction,左,ひだり,Hidari,Left
PD005,Position & Direction,前,まえ,Mae,Front / Before
PD006,Position & Direction,後ろ,うしろ,Ushiro,Back / Behind
PD007,Position & Direction,上,うえ,Ue,On / Above
PD008,Position & Direction,下,した,Shita,Under / Below
PD009,Position & Direction,隣,となり,Tonari,Next to
PD010,Position & Direction,間,あいだ,Aida,Between
PD011,Position & Direction,近く,ちかく,Chikaku,Near
PD012,Position & Direction,真ん中,まんなか,Mannaka,Middle / Center
DM001,Demonstratives (こそあど),これ,これ,Kore,This (thing)
DM002,Demonstratives (こそあど),それ,それ,Sore,"That (thing, near listener)"
DM003,Demonstratives (こそあど),あれ,あれ,Are,"That (thing, over there)"
DM004,Demonstratives (こそあど),どれ,どれ,Dore,Which (thing)?
DM005,Demonstratives (こそあど),この,この,Kono,This [noun]
DM006,Demonstratives (こそあど),その,その,Sono,That [noun] (near listener)
DM007,Demonstratives (こそあど),あの,あの,Ano,That [noun] (over there)
DM008,Demonstratives (こそあど),どの,どの,Dono,Which [noun]?
DM009,Demonstratives (こそあど),ここ,ここ,Koko,Here
DM010,Demonstratives (こそあど),そこ,そこ,Soko,There (near listener)
DM011,Demonstratives (こそあど),あそこ,あそこ,Asoko,Over there
DM012,Demonstratives (こそあど),どこ,どこ,Doko,Where?
DM013,Demonstratives (こそあど),こちら / こっち,こちら / こっち,Kochira / Kocchi,This way / Here
DM014,Demonstratives (こそあど),そちら / そっち,そちら / そっち,Sochira / Socchi,That way / There
DM015,Demonstratives (こそあど),あちら / あっち,あちら / あっち,Achira / Acchi,That way over there
DM016,Demonstratives (こそあど),どちら / どっち,どちら / どっち,Dochira / Docchi,Which way? / Where?
DM017,Demonstratives (こそあど),この人,このひと,Kono hito,This person
DM018,Demonstratives (こそあど),その人,そのひと,Sono hito,That person
DM019,Demonstratives (こそあど),あの人,あのひと,Ano hito,That person (over there)
DM020,Demonstratives (こそあど),どの人,どのひと,Dono hito,Which person?
DM021,Demonstratives (こそあど),こんな,こんな,Konna,This kind of
DM022,Demonstratives (こそあど),そんな,そんな,Sonna,That kind of
DM023,Demonstratives (こそあど),あんな,あんな,Anna,That kind of (over there)
DM024,Demonstratives (こそあど),どんな,どんな,Donna,What kind of?
EH001,Entertainment & Hobbies,映画,えいが,Eiga,Movie
EH002,Entertainment & Hobbies,写真,しゃしん,Shashin,Photograph
EH003,Entertainment & Hobbies,音楽,おんがく,Ongaku,Music
EH004,Entertainment & Hobbies,歌,うた,Uta,Song
EH005,Entertainment & Hobbies,絵,え,E,Picture / Drawing
EH006,Entertainment & Hobbies,ゲーム,ゲーム,Gēmu,Games
EH007,Entertainment & Hobbies,テニス,テニス,Tenisu,Tennis
EH008,Entertainment & Hobbies,サッカー,サッカー,Sakkā,Soccer
EH009,Entertainment & Hobbies,野球,やきゅう,Yakyū,Baseball
EH010,Entertainment & Hobbies,スポーツ,スポーツ,Supōtsu,Sport
EH011,Entertainment & Hobbies,ダンス,ダンス,Dansu,Dance
EH012,Entertainment & Hobbies,カラオケ,カラオケ,Karaoke,Karaoke
EH013,Entertainment & Hobbies,チケット,チケット,Chiketto,Ticket
EH014,Entertainment & Hobbies,シーディー,シーディー,Shīdī,CD
EH015,Entertainment & Hobbies,旅行,りょこう,Ryokō,Travel
EH016,Entertainment & Hobbies,乗り物,のりもの,Norimono,Rides
EH017,Entertainment & Hobbies,遊園地,ゆうえんち,Yuuenchi,Amusement
EH018,Entertainment & Hobbies,バイオハザード,ばいおはざーど,Baiohazaado,Biohazard (Resident Evil)
EH019,Entertainment & Hobbies,イベント,イベント,Ibento,Event / Convention
EH020,Entertainment & Hobbies,お祭り,おまつり,Omatsuri,Fair / Festival
EH021,Entertainment & Hobbies,パーティー,パーティー,Paatii,Party
EH022,Entertainment & Hobbies,美術,びじゅつ,Bijutsu,Art
EH023,Entertainment & Hobbies,釣り,つり,Tsuri,Fishing
EH024,Entertainment & Hobbies,スキー,スキー,Sukī,Skiing
EH025,Entertainment & Hobbies,ホラー映画,ホラーえいが,Horā eiga,Horror movie
EH026,Entertainment & Hobbies,デート,デート,Dēto,Date (romantic)
EH027,Entertainment & Hobbies,花見,はなみ,Hanami,Flower viewing
MP001,Mail & Postal,手紙,てがみ,Tegami,Letter
MP002,Mail & Postal,速達,そくたつ,Sokutatsu,Special delivery
MP003,Mail & Postal,書留,かきとめ,Kakitome,Registered mail
MP004,Mail & Postal,航空便,こうくうびん,Kōkūbin,Airmail
MP005,Mail & Postal,船便,ふなびん,Funabin,Sea mail
MP006,Mail & Postal,封筒,ふうとう,Fuutou,Envelope
MP007,Mail & Postal,葉書,はがき,Hagaki,Post card
WS001,Work & Study,仕事,しごと,Shigoto,Work / Job
WS002,Work & Study,勉強,べんきょう,Benkyō,Study
WS003,Work & Study,宿題,しゅくだい,Shukudai,Homework
WS004,Work & Study,しつもん,しつもん,Shitsumon,Question
WS005,Work & Study,こたえ,こたえ,Kotae,Answer
WS006,Work & Study,たんご,たんご,Tango,Word / Vocabulary
WS007,Work & Study,予定,よてい,Yotei,Plans / Schedule
WS008,Work & Study,会議,かいぎ,Kaigi,Meeting
WS009,Work & Study,同僚,どうりょう,Douryou,Colleague
WS010,Work & Study,準備,じゅんび,Junbi,Preparation
WS011,Work & Study,練習,れんしゅう,Renshuu,Practice / Training
WS012,Work & Study,スケジュール,すけじゅーる,Sukejuuru,Schedule
WS013,Work & Study,結婚記念日,けっこんきねんび,Kekkon kinenbi,Wedding anniversary
WS014,Work & Study,免許,めんきょ,Menkyo,Driver's license
WS015,Work & Study,結婚式,けっこんしき,Kekkonshiki,Wedding
WS016,Work & Study,[お]金,おかね,Okane,Money
WS017,Work & Study,細かいお金,こまかいおかね,Komakai okane,Small change
WS018,Work & Study,じかん,じかん,Jikan,Hours
WS019,Work & Study,誕生日,たんじょうび,Tanjōbi,Birthday
WS020,Work & Study,やすみ,やすみ,Yasumi,Day off
WS021,Work & Study,しゅうまつ,しゅうまつ,Shūmatsu,Weekend
WS022,Work & Study,試験,しけん,Shiken,Examination
WS023,Work & Study,授業,じゅぎょう,Jugyō,Lesson / Class
WS024,Work & Study,最終週,さいしゅうしゅう,Saishūshū,Final week (of a month or event)
VB001,Verbs,食べます,たべます,Tabemasu,Eat
VB002,Verbs,飲みます,のみます,Nomimasu,Drink
VB003,Verbs,見ます,みます,Mimasu,Watch
VB004,Verbs,読みます,よみます,Yomimasu,Read
VB005,Verbs,書きます,かきます,Kakimasu,Write / Draw
VB006,Verbs,聴きます,ききます,Kikimasu,Listen
VB007,Verbs,行きます,いきます,Ikimasu,Go
VB008,Verbs,来ます,きます,Kimasu,Come
VB009,Verbs,帰ります,かえります,Kaerimasu,Go home
VB010,Verbs,買います,かいます,Kaimasu,Buy
VB011,Verbs,会います,あいます,Aimasu,Meet / See (a friend)
VB012,Verbs,撮ります,とります,Torimasu,Take (a photo)
VB013,Verbs,吸います,すいます,Suimasu,Smoke
VB014,Verbs,勉強します,べんきょうします,Benkyō shimasu,Study
VB015,Verbs,終わります,おわります,Owarimasu,Finish
VB016,Verbs,休みます,やすみます,Yasumimasu,Rest / Take a day off
VB017,Verbs,働きます,はたらきます,Hatarakimasu,Work
VB018,Verbs,します,します,Shimasu,Do
VB019,Verbs,あります,あります,Arimasu,Exist (inanimate) / Have
VB020,Verbs,います,います,Imasu,Exist (animate)
VB021,Verbs,分かります,わかります,Wakarimasu,Understand
VB022,Verbs,教えます,おしえます,Oshiemasu,Teach
VB023,Verbs,習います,ならいます,Naraimasu,Learn
VB024,Verbs,貸します,かします,Kashimasu,Lend
VB025,Verbs,借ります,かります,Karimasu,Borrow
VB026,Verbs,あげます,あげます,Agemasu,Give
VB027,Verbs,もらいます,もらいます,Moraimasu,Receive
VB028,Verbs,送ります,おくります,Okurimasu,Send
VB029,Verbs,切ります,きります,Kirimasu,Cut / Slice
VB030,Verbs,かけます [電話を],かけます,Kakemasu,Make a phone call
VB031,Verbs,手伝います,てつだいます,Tetsudaimasu,Help
VB032,Verbs,おぼえます,おぼえます,Oboemasu,Memorize
VB033,Verbs,ひっこします,ひっこします,Hikkoshimasu,Move out
VB034,Verbs,とまります,とまります,Tomarimasu,Stay
VB035,Verbs,ちゅうもんします,ちゅうもんします,Chūmon shimasu,Order
VB036,Verbs,きます [服を],きます,Kimasu,Wear / Put on
VB037,Verbs,かかります [お金が],かかります,Kakarimasu,Cost (money)
VB038,Verbs,かかります [時間が],かかります,Kakarimasu,Take (time)
VB039,Verbs,整理します,せいりします,Seirishimasu,To organize
VB040,Verbs,掃除します,そうじします,Soujishimasu,To clean
VB041,Verbs,満足します,まんぞくします,Manzokushimasu,To be satisfied
VB042,Verbs,乗ります,のります,Norimasu,To ride
VB043,Verbs,ゆっくりします,ゆっくりします,Yukkurishimasu,To relax
VB044,Verbs,出ます,でます,Demasu,To leave
VB045,Verbs,つきます,つきます,Tsukimasu,To arrive
VB046,Verbs,過ごします,すごします,Sugoshimasu,To spend (time)
VB047,Verbs,続けます,つづけます,Tsuzukemasu,To continue
VB048,Verbs,戻ります,もどります,Modorimasu,To return / Go back
VB049,Verbs,散歩します,さんぽします,Sanpo shimasu,To take a walk
VB050,Verbs,焼きます,やきます,Yakimasu,To grill / Roast
VB051,Verbs,始まります,はじまります,Hajimarimasu,To start / Begin
VB052,Verbs,参加します,さんかします,Sanka shimasu,To participate
VB053,Verbs,疲れます,つかれます,Tsukaremasu,To get tired
VB054,Verbs,リラックスします,リラックスします,Rirakkusu shimasu,To relax
VB055,Verbs,持ってきます,もってきます,Motte kimasu,To bring (from somewhere)
VB056,Verbs,遊びます,あそびます,Asobimasu,Play / Hang out
VB057,Verbs,泳ぎます,およぎます,Oyogimasu,Swim
VB058,Verbs,迎えます,むかえます,Mukaemasu,Go to meet / Welcome
VB059,Verbs,出します [手紙を],だします,Dashimasu,Send / Post [a letter]
VB060,Verbs,入ります [〜に],はいります,Hairimasu,Enter
VB061,Verbs,結婚します,けっこんします,Kekkon shimasu,Marry
VB062,Verbs,買い物します,かいものします,Kaimono shimasu,Do shopping
VB063,Verbs,食事します,しょくじします,Shokuji shimasu,Have a meal
VB064,Verbs,運転します,うんてんします,Unten shimasu,To drive
VB065,Verbs,住みます,すみます,Sumimasu,Live
VB066,Verbs,歌います,うたいます,Utaimasu,Sing
VB067,Verbs,探します,さがします,Sagashimasu,Look for / Search
VB068,Verbs,運動します,うんどうします,Undō shimasu,Do exercise
VB069,Verbs,風邪を引きます,かぜをひきます,Kaze o hikimasu,Catch a cold
VB070,Verbs,貯金します,ちょきんします,Chokin shimasu,Save money
VB071,Verbs,ゆっくりします,ゆっくりします,Yukkuri shimasu,Relax / Take it easy
VB072,Verbs,安心します,あんしんします,Anshin shimasu,Feel relieved
IA001,い-Adjectives,新しい,あたらしい,Atarashii,New
IA002,い-Adjectives,古い,ふるい,Furui,Old
IA003,い-Adjectives,大きい,おおきい,Ōkii,Big
IA004,い-Adjectives,小さい,ちいさい,Chiisai,Small
IA005,い-Adjectives,高い,たかい,Takai,Tall / Expensive
IA006,い-Adjectives,低い,ひくい,Hikui,Low
IA007,い-Adjectives,安い,やすい,Yasui,Cheap
IA008,い-Adjectives,良い,いい,Ii,Good
IA009,い-Adjectives,悪い,わるい,Warui,Bad
IA010,い-Adjectives,暑い,あつい,Atsui,Hot (weather)
IA011,い-Adjectives,寒い,さむい,Samui,Cold (weather)
IA012,い-Adjectives,熱い,あつい,Atsui,Hot (touch)
IA013,い-Adjectives,冷たい,つめたい,Tsumetai,Cold (touch)
IA014,い-Adjectives,易しい,やさしい,Yasashii,Easy
IA015,い-Adjectives,難しい,むずかしい,Muzukashii,Difficult
IA016,い-Adjectives,忙しい,いそがしい,Isogashii,Busy
IA017,い-Adjectives,おもしろい,おもしろい,Omoshiroi,Interesting
IA018,い-Adjectives,楽しい,たのしい,Tanoshii,Fun
IA019,い-Adjectives,気持ちいい,きもちいい,Kimochi ii,Feels good / Comfortable
IA020,い-Adjectives,おいしい,おいしい,Oishii,Delicious
IA021,い-Adjectives,白い,しろい,Shiroi,White
IA022,い-Adjectives,赤い,あかい,Akai,Red
IA023,い-Adjectives,黒い,くろい,Kuroi,Black
IA024,い-Adjectives,青い,あおい,Aoi,Blue
IA025,い-Adjectives,怖い,こわい,Kowai,Scary
IA026,い-Adjectives,近い,ちかい,Chikai,Near
IA027,い-Adjectives,遠い,とおい,Tooi,Far
IA028,い-Adjectives,早い,はやい,Hayai,Early
IA029,い-Adjectives,速い,はやい,Hayai,Fast
IA030,い-Adjectives,遅い,おそい,Osoi,Late / Slow
IA031,い-Adjectives,多い,おおい,Ooi,Many / Much
IA032,い-Adjectives,少ない,すくない,Sukunai,Few / A little
IA033,い-Adjectives,暖かい,あたたかい,Atatakai,Warm
IA034,い-Adjectives,涼しい,すずしい,Suzushii,Cool
IA035,い-Adjectives,甘い,あまい,Amai,Sweet
IA036,い-Adjectives,辛い,からい,Karai,Spicy
IA037,い-Adjectives,重い,おもい,Omoi,Heavy
IA038,い-Adjectives,軽い,かるい,Karui,Light
IA039,い-Adjectives,欲しい,ほしい,Hoshii,Want
IA040,い-Adjectives,寂しい,さびしい,Sabishii,Lonely
IA041,い-Adjectives,広い,ひろい,Hiroi,Wide / Spacious
IA042,い-Adjectives,狭い,せまい,Semai,Narrow
IA043,い-Adjectives,かっこいい,かっこいい,Kakkoii,Cool / Good-looking
IA044,い-Adjectives,温かい,あたたかい,Atatakai,Warm (to the touch)
IA045,い-Adjectives,苦い,にがい,Nigai,Bitter
IA046,い-Adjectives,うらやましい,うらやましい,Urayamashii,Envious / Jealous
NJ001,な-Adjectives,親切,しんせつ,Shinsetsu,Kind
NJ002,な-Adjectives,元気,げんき,Genki,Healthy / Cheerful
NJ003,な-Adjectives,暇,ひま,Hima,Free (time)
NJ004,な-Adjectives,有名,ゆうめい,Yūmei,Famous
NJ005,な-Adjectives,綺麗,きれい,Kirei,Beautiful / Clean
NJ006,な-Adjectives,静か,しずか,Shizuka,Quiet
NJ007,な-Adjectives,ハンサム,ハンサム,Hansamu,Handsome
NJ008,な-Adjectives,にぎやか,にぎやか,Nigiyaka,Lively
NJ009,な-Adjectives,好き,すき,Suki,Like
NJ010,な-Adjectives,嫌い,きらい,Kirai,Dislike
NJ011,な-Adjectives,上手,じょうず,Jōzu,Good at
NJ012,な-Adjectives,下手,へた,Heta,Bad at
NJ013,な-Adjectives,穏やか,おだやか,Odayaka,Calm / Gentle
NJ014,な-Adjectives,自由,じゆう,Jiyuu,Free / Freedom
NJ015,な-Adjectives,精力的,せいりょくてき,Seiryokuteki,Productive / Energetic
NJ016,な-Adjectives,機能的,きのうてき,Kinouteki,Functional
